Time,Risk
1,0.001810
2,0.001859
3,0.001907
4,0.001959
5,0.002014
6,0.002072
7,0.002139
8,0.002211
9,0.002277
10,0.002333
11,0.002390
12,0.002463
13,0.002566
14,0.002701
15,0.002870
16,0.003066
17,0.003280
18,0.003520
19,0.003804
20,0.004146
21,0.004547
22,0.004978
23,0.005441
24,0.005965
25,0.006549
26,0.007170
27,0.007803
28,0.008445
29,0.009116
30,0.009838
31,0.010619
32,0.011470
33,0.012361
34,0.013260
35,0.014140
36,0.015019
37,0.015942
38,0.017026
39,0.018189
40,0.019483
41,0.020990
42,0.022448
43,0.024631
44,0.026570
45,0.029040
46,0.031539
47,0.034644
48,0.038148
49,0.042250
50,0.046522
51,0.051401
52,0.056783
53,0.062514
54,0.069452
55,0.077622
56,0.086155
57,0.095450
58,0.105788
59,0.118527
60,0.132437
61,0.147541
62,0.163839
63,0.181308
64,0.199900
65,0.219535
66,0.240108
67,0.261480
68,0.283491
69,0.305955
70,0.328673
71,0.351434
